CD59 glycoprotein proteolytic cleavage product	PR:000019275	CD59 glycoprotein proteolytic cleavage product
M-phase inducer phosphatase unmodified form	PR:000027508	cdc25/UnMod
cell division control protein 42 proteolytic cleavage product	PR:000019280	CDC42/ClvPrd
cadherin-13 proteolytic cleavage product	PR:000019284	CDH13/ClvPrd
cadherin-1 proteolytic cleavage product	PR:000018481	CDH1/ClvPrd
cadherin-2 proteolytic cleavage product	PR:000018480	CDH2/ClvPrd
cadherin-3 proteolytic cleavage product	PR:000019287	CDH3/ClvPrd
cyclin-dependent kinase 5 activator 1 cleaved 1	PR:000050087	CDK5R1/Clv:1
cyclin-dependent kinase 5 activator 1 proteolytic cleavage product	PR:000019289	CDK5R1/ClvPrd
cyclin-dependent kinase inhibitor 1B isoform 1 unmodified form	PR:000003092	CDKN1B/iso:1/UnMod
carcinoembryonic antigen-related cell adhesion molecule 8 proteolytic cleavage product	PR:000018406	CEACAM8/ClvPrd
cerebellin-1 proteolytic cleavage product	PR:000019244	cerebellin-1 proteolytic cleavage product
complement factor B proteolytic cleavage product	PR:000019308	CFB/ClvPrd
complement factor I proteolytic cleavage product	PR:000019315	CFI/ClvPrd
chaperone protein ClpB isoform 1 unmodified form	PR:000024929	chaperone protein ClpB isoform 1 unmodified form
chromogranin-A proteolytic cleavage product	PR:000019326	CHGA/ClvPrd
secretogranin-1 proteolytic cleavage product	PR:000019329	CHGB/ClvPrd
cholecystokinin proteolytic cleavage product	PR:000019255	cholecystokinin proteolytic cleavage product
cholera enterotoxin subunit A1	PR:000021965	Cholera enterotoxin A1 chain
cholera enterotoxin subunit A2	PR:000021966	Cholera enterotoxin A2 chain
cholera enterotoxin subunit A1	PR:000021965	Cholera enterotoxin alpha chain
cholera enterotoxin subunit A2	PR:000021966	Cholera enterotoxin gamma chain
cholera enterotoxin subunit A1	PR:000021965	cholera enterotoxin subunit A1
cholera enterotoxin subunit A2	PR:000021966	cholera enterotoxin subunit A2
chondrocalcin	PR:000003367	chondrocalcin
chordin proteolytic cleavage product	PR:000025419	chordin proteolytic cleavage product
